"Link","Abstract","Author Keywords","Index Keywords"
"https://www.scopus.com/pages/publications/85062403741?origin=resultslist","Future healthcare systems, smart homes, power managementsystems will all involve a large number of smart inter-connected wireless devices (such as wireless sensor and IoT nodes). One of the major challenges to securing these systems presents loading initial cryptographic credentials into a relatively large number of wireless devices. This challenge is further aggravated by the fact that many of these technologies and systems involve low-cost and highly interface constrained devices — lacking usual wired interfaces, displays, keypads, and alike. In this paper we propose two novel multichannel key deployment schemes for wireless (sensor) networks, LISA and LISAT, that only require a presence of a light source device, such as a multi-touch screen, tablet or a smartphone device. Both key deployment schemes are secret key-based multichannel protocols and are suitable for interface/resource constrained wireless devices. We use one-way visible light channel (VLC) of multitouch screens (the flashing displays) to initialize sensor devices in a secure, usable and scalable way. More interestingly, LISAT protocol is suited for initialization of geographically remote devices via a trusted third party device. We provide formal analysis of the proposed protocols using the automated verification tool. From the user's perspective of protocol execution, device initialization is quite simple as user simply places the devices on the top of the multitouch screen after which the remaining process is fully automatized. Indeed, through the experiments with 34 users we showed that our solution is user-friendly and has a good performance concerning the time consumption. © 2019","Authentication; Key deployment; Visible light channel; Wireless devices","Authentication; Automation; Intelligent buildings; Light; Light sources; mHealth; Radio; Touch screens; Wireless sensor networks; Automated verification; Constrained devices; Key deployment; Multichannel protocols; Technologies and systems; Trusted third parties; Visible light; Wireless devices; Internet of things"
"https://www.scopus.com/pages/publications/85050490713?origin=resultslist","The current demands for seamless connections with the surrounding environment make software more reactive. For example, such demands are evident in systems consisting of the Internet of Things. Such systems include a set of reactive values that are periodically updated in response to external or internal events to form a dataflow in the sense that such updates are propagated to other reactive values. Two effective approaches for realizing such reactive values have been proposed: the event mechanisms in event-based programming and the signals in functional-reactive programming. These two approaches are now becoming mixed in several languages such as Flapjax and REScala, which makes these languages notably expressive for modularizing the implementation of reactive software. For example, REScala provides a rich API that consists of functions converting events to signals and vice versa. In this paper, we explore another, simpler approach in the design space of reactive programming languages: the event mechanism is harmonized with signals, resulting in a simplified programming interface that is mostly based on signals. Based on this approach, we realize SignalJ, a simple extension of Java with events and signals. Our notable findings are (1) an event can be represented as an update of a signal and (2) such an effectful signal can be represented using annotations instead of introducing types and constructors for signals to further simplify the language. Another contribution of this paper is the formal model of SignalJ. As both mechanisms of events and signals may interfere with each other, this mixing sometimes results in surprising behavior. For example, the functional behavior of signals is affected by the imperative features of events. Thus, understanding the formal model of this mixing is actually important. The core calculus, Featherweight SignalJ (FSJ), was developed as an extension of Featherweight Java, and proofs are provided to ensure the soundness of FSJ. © Tetsuo Kamina and Tomoyuki Aotani.","Event-based programming; Formalization; Functional-reactive programming",""
"https://www.scopus.com/pages/publications/85089799946?origin=resultslist","Wireless communication protocols are often used in critical applications, e.g., urban water supply networks or healthcare monitoring within the Internet of Things. It is essential that control software and protocols for such systems are verified to be both robust and reliable. The effects on the hardware caused by environmental conditions and the choice of parameters used by the protocol are among the largest obstacles to robustness and reliability in wireless systems. In this paper we use formal verification to verify that a wireless sensor network synchronization and dissemination protocol is not adversely affected by these factors. © 2020","Formal verification; Internet of Things; Model checking; Network performance evaluation; Protocol verification; Wireless sensor network","Formal methods; Internet protocols; Water supply; Wireless sensor networks; Choice of parameters; Critical applications; Dissemination protocols; Environmental conditions; Healthcare monitoring; Urban water supply; Wireless communication protocols; Wireless systems; Internet of things"
"https://www.scopus.com/pages/publications/85204483872?origin=resultslist","Smart contracts have gained extensive adoption across diverse industries, including finance, supply chain, and the Internet of Things. Nevertheless, the surge in security incidents of smart contracts over recent years has led to substantial economic losses. Therefore, ensuring the security of smart contracts has become a critical and complex challenge in both academic and industrial domains. Based on 539 real-world security incidents in the Ethereum platform and audit reports from 10 authoritative auditing institutions, we summarize 27 types of exploited security vulnerabilities and draw insights into their principles, typical cases, relevant research and recommended prevention strategies. Besides, we also gather 7 other potentially threatening vulnerability types as supplements. On this basis, we conduct an in-depth analysis of the root causes of vulnerabilities and further formulate eight safety practical rules. Moreover, we perform a comprehensive review of 178 recent papers on smart contract security analysis, classifying detection methods into formal verification, fuzz testing, machine learning, program analysis, and others. For each category, we seize the specific detection tools and analyze them comprehensively. Then, we conduct an extensive analysis and synthesis from various angles, presenting a comprehensive overview of the current research landscape in smart contract security detection. We also discuss current on-chain and off-chain repair methods. Finally, this review outlines major challenges and highlights potential areas for future research in this field.  © 2008-2012 IEEE.","blockchain; ethereum; security analysis; Smart contracts; vulnerabilities","Supply chains; 'current; Analysis method; Audit reports; Block-chain; Economic loss; Real-world; Security analysis; Security incident; Security vulnerabilities; Vulnerability; Smart contract"
"https://www.scopus.com/pages/publications/85147874923?origin=resultslist","This paper focuses on security by design for smart city systems. Insecure smart city systems may cause serious losses to the social, environmental and economic development of smart cities. Therefore, it is essential to ensure security by design for smart city systems. For large-scale, hyper-connected smart city systems consisting of a large number of interconnected devices of different types, analyzing the impact of security threats on the whole system as well as the various aspects of smart cities at the early design stage of the system is an important and difficult problem that remains unsolved. To address this problem, this paper proposes a KPI-guided model-based approach and accompanying prototype tool, named SCKPISec (Smart City KPI-guided Security). By applying the techniques of UML modeling, formal modeling and verification, and KPIs evaluation, SCKPISec provides an effective way to realize KPI-guided security by design for smart city systems. We evaluated SCKPISec through case studies. The results show that SCKPISec can efficiently detect the potential problems of smart city systems under security threats and has high feasibility and applicability in ensuring KPI-guided security by design for smart city systems. Compared with existing model-based security approaches, the advantage of SCKPISec is that it has a highly automated verification process and provides an effective and efficient solution to evaluate the potential KPI losses of smart cities under security threats at the early design stage of smart city systems. © 2023 by the authors.","cyber security; formal method; IoT; KPI; model-driven engineering; security by design; smart city; UML","automation; design; economic development; engineering; equipment; smart city"
"https://www.scopus.com/pages/publications/85126981195?origin=resultslist","The Internet of Things is a framework that links real-world scenarios to smart devices, actuators, software, networks, and sensors to allow for efficient communications. In this paper, an IoT-based formal model of emergency message dissemination scheme will be proposed by integration of approaches. Wireless sensors will be utilized to perceive the information and actors will be utilized to execute the actions as required. We will be developed a model that manages vehicle scenarios in smart transportation systems so that responsive data transmission is provided linking the source and destination vehicles. Further, fog-based RSU will be exploited to avoid impediments in delayed sensitive tasks. All the appropriate entities are connected, ensuring a consistent traffic flow for the arrival of the emergency vehicle to provide services. The VDM-SL will be utilized for specification, additionally, the VDM-SL toolbox will be exploited for formal analysis and validation of the model. Finally, we will be discussed various issues, as well as challenges that require to be addressed.  © 2021 IEEE.","Formal Methods; IoT; VANETs; Verification and Validation","Formal verification; Information dissemination; Vehicle transmissions; Vehicular ad hoc networks; Efficient communications; Emergency message disseminations; Formal modeling; Real-world scenario; Smart actuators; Smart devices; Software network; Software sensor; VANET; Verification-and-validation; Internet of things"
"https://www.scopus.com/pages/publications/85118677894?origin=resultslist","An Internet of Things (IoT) application typically involves implementations in both the device domain and the network domain. In this two-domain environment, it is possible that application developers implement the wrong network functions and/or connect some IoT devices that should never be linked, which result in the execution of wrong operations on network functions. To resolve these issues, we propose the VerificationTalk mechanism to prevent inappropriate IoT application deployment. VerificationTalk consists of two subsystems: the BigraphTalk subsystem which verifies IoT device configuration; and AFLtalk which validates the network functions. VerificationTalk provides mechanisms to conduct online anomaly detection by using a runtime monitor and offline by using American Fuzzy Lop (AFL). The runtime monitor is capable of intercepting potentially harmful data targeting IoT devices. When VerificationTalk detects errors, it provides feedback for debugging. VerificationTalk also assists in building secure IoT applications by identifying security loopholes in network applications. By the appropriate design of the IoTtalk execution engine, the testing capacity of AFLtalk is three times that of traditional AFL approaches. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","American Fuzzy Lop (AFL); Bigraph models; Formal methods; Fuzz testing; Internet of Things (IoT)","Anomaly detection; Formal verification; Network function virtualization; Network security; Transfer functions; American fuzzy lop; Bigraph model; Bigraphs; Fuzz Testing; Internet of thing; IOT applications; Network domains; Network functions; Runtime monitors; Security mechanism; article; internet of things; outlier detection; security; testing capacity; Internet of things"
"https://www.scopus.com/pages/publications/85046773935?origin=resultslist","We propose a platform for the integration of passive radio sensing and vision technologies into a cloud-IoT framework that performs real-Time channel quality information (CQI) time series processing and analytics. Radio sensing and vision technologies allow to passively detect and track objects or persons by using radio waves as probe signals that encode a 2-D/3-D view of the environment they propagate through. View reconstruction from the received radio signals, or CQI, is based on real-Time data processing tools, that combine multiple radio measurements from possibly heterogeneous IoT networks. The proposed platform is designed to efficiently store and analyze CQI time series of different types and provides formal semantics for CQI data manipulation-ontology models (OMs). Post-processed data can be then accessible to third parties via JSON-REST calls. Finally, the proposed system supports the reconfiguration of CQI data collection based on the respective application. The performance of the proposed tools are evaluated through two experimental case studies that focus on assisted living applications in a smart-space environment and on driver behavior recognition for in-car control services. Both studies adopt and compare different CQI manipulation models and radio devices as supported by current and future (5G) standards. © 2014 IEEE.","Cloud-Assisted Internet of Things (IoT); passive radio sensing; real-Time data analysis; semantic data models","5G mobile communication systems; Behavioral research; Data handling; Formal methods; Object detection; Semantics; Time series; Data manipulations; Radio sensing; Real time data analysis; Real-time channels; Real-time data processing; Semantic data model; Time series processing; Vision technology; Internet of things"
"https://www.scopus.com/pages/publications/105030903631?origin=resultslist","Digital twin technology enables dynamic interactions between physical objects and cyber world and is essential for ensuring the reliability and safety of Smart IoT Systems. However, the existing IoT integration platforms are focused mainly on system implementation, which limits the capability of analyzing and verifying the requirements of Smart IoT Systems in advance. To address the issue, this chapter proposes the Delta Visual Language and Logic (DeViLL) Orchestration Methodology, which utilizes formal method based on dTP-Calculus and the Specification, Analysis, Verification, Evaluation (SAVE) tool suite to formally specify, analyze, and verify the requirements. Furthermore, the verified system is integrated into the openHAB platform to ensure the reliability and safety in a real environment. The research in this chapter involves the design and implementation of a Smart Home-Pool Safety Monitoring System (SHoPoSMS) to demonstrate the validity and practicality of the DeViLL Orchestrator. The research provides a systematic approach to meet the requirements of Smart IoT Systems and reduce the risk of malfunction or misbehavior prior to the implementation. The Orchestration Methodology with DeViLL can be considered one of the most innovative approaches to utilize formal methods and tools for Smart IoT Systems on IoT integration platforms. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","DeViLL orchestration methodology; Digital twin; dTP-calculus; Formal method; SAVE; Smart IoT systems","Automation; Integration; Intelligent buildings; Safety engineering; Analysis verification; Delta visual language and logic orchestration methodology; DTP-calculus; Dynamic interaction; Integration platform; Physical objects; Reliability and safeties; Smart IoT system; Specification, analyze, verification, evaluation; Systems implementation; Formal methods"
"https://www.scopus.com/pages/publications/85185932960?origin=resultslist","Internet of Things has become a common paradigm for various domains. To meet a user’s complex requirement, we should compose multiple IoT devices (IoT services) to provide comprehensive services to the user. However, these services usually coexist, which is likely to lead to conflicts. Moreover, each user may have different kinds of needs. Suppose that in a smart home there are more than one person, a conflict may occur when they request the same service in this environment. Actually, even though they request different IoT services, among which if there exists function impact or QoS impact, a conflict could still occur. In this paper, we propose to employ high-level Petri nets to detect conflicts among IoT services. We first model the formal methods for conflict policies. Then, we present a Petri nets-based mechanism for modeling and detecting conflicts. Finally, we expand the previous model and use high-level Petri nets for handling fuzzy IoT conflict policies modeling and reasoning. The experimental results show that the proposed approach performs well in accuracy. © The Author(s) 2024.","Conflict; Internet of things; IoT service; Petri net",""
"https://www.scopus.com/pages/publications/85107502696?origin=resultslist","The Internet of Things (IoT) is an emerging technology that allows connecting physical devices that are linked to the internet across the world to communicate and share information. Drones are flying objects without any human pilot. In many countries, drones are being used for the fast delivery of packages or products. Nowadays the whole world is fighting against the COVID-19 pandemic which is a viral disease that can be spread by the interaction of people. To fight against this pandemic, the drone's technology can be very effective to minimize the interaction of people. There exists little research work in this area because this virus has been introduced recently in 2019. In this paper, we have proposed an IoT-based model in which wearable sensors are used that will be able to identify COVID-19 patients by monitoring the temperature and respiratory system of the people. After confirmation of identification, the control room will send an alert message and sends medical kits to the residence of the patient through drones. The UML (Unified Modeling Language) is used for the representation and flow of the system. models of the proposed system is specified using Vienna Development Method-Specification language (VDM-SL). VDM-SL toolbox is used to ensure the correctness of the models. © 2021 IEEE.","COVID-19; Drones; Formal Methods; IoT (Internet of Things) UML; VDM-SL","Data Science; Drones; Respiratory system; Specification languages; Unified Modeling Language; Viruses; Wearable technology; Emerging technologies; Flying objects; Internet of thing (IOT); Medical services; Monitoring the temperatures; Physical devices; UML(unified modeling language); Vienna development methods; Internet of things"
"https://www.scopus.com/pages/publications/85097191948?origin=resultslist","Smart home devices provide the convenience of remotely control-ling and automating home appliances. The most advanced smart home environments allow developers to write apps to make smart home devices work together to accomplish tasks, e.g., home security and energy conservation. A smart home app typically implements narrow functionality and thus to fully implement desired functionality homeowners may need to install multiple apps. These different apps can conflict with each other and these conflicts can result in undesired actions such as locking the door during a fire. In this paper, we study conflicts between apps on Samsung SmartThings, the most popular platform for developing and deploying smart home IoT devices. By collecting and studying 198 official and 69 third-party apps, we found significant app conflicts in 3 categories: (1) close to 60% of app pairs that access the same device, (2) more than 90% of app pairs with physical interactions, and (3) around 11% of app pairs that access the same global variable. Our results suggest that the problem of conflicts between smart home apps is serious and can create potential safety risks. We then developed a conflict detection tool that uses model checking to automatically detect up to 96% of the conflicts. © 2020 Owner/Author.","Concurrency; Model checking; Program analysis; Smart home apps","Ambient intelligence; Automation; Domestic appliances; Model checking; Conflict detection; Global variables; Home security; IOT applications; Physical interactions; Popular platform; Safety risks; Third parties; Internet of things"
"https://www.scopus.com/pages/publications/85021452234?origin=resultslist","Today's applications for HW/SW-systems, such as the Internet-of-Things, often demand SoC architectures where sophisticated firmware is running on fairly simple processors. Designers face the challenge of meeting high requirements for these systems regarding their efficiency and dependability under severe cost constraints. Targeting such applications this paper presents a new technique to generate a joint computational model for the hardware and its firmware. Generation of our computational model is interleaved with techniques from WCET analysis so that clock-cycle accuracy of the resulting model is achieved. As an application of our approach, we present how to generate a fast, cycle-accurate RTL simulation model that can replace the processor and its firmware in the RTL system description. Our experimental results show an acceleration by an order of magnitude when applying standard cycle-accurate RTL simulation to our modified design. © 2017 IEEE.","cycle accurate; EDA; formal verification","Computation theory; Computational methods; Firmware; Formal verification; System-on-chip; Verification; Computational model; Cost constraints; Cycle accurate; Modified designs; Rtl simulations; SoC architecture; Software model; System description; Embedded systems"
"https://www.scopus.com/pages/publications/85176089533?origin=resultslist","The proceedings contain 422 papers. The topics discussed include: PhyAuth: physical-layer message authentication for ZigBee networks; time for change: how clocks break UWB secure ranging; capstone: a capability-based foundation for trustless secure memory access; examining consumer reviews to understand security and privacy issues in the market of smart home devices; detecting and handling IoT interaction threats in multi-platform multi-control-channel smart homes; lessons lost: incident response in the age of cyber insurance and breach attorneys; a bug’s life: analyzing the lifecycle and mitigation process of content security policy bugs; PatchVerif: discovering faulty patches in robotic vehicles; systematic assessment of fuzzers using mutation analysis; HomeSpy: the invisible sniffer of infrared remote control of smart TVs; PCAT: functionality and data stealing from split learning by pseudo-client attack; a plot is worth a thousand words: model information stealing attacks via scientific plots; detecting multi-step IAM attacks in AWS environments via model checking; and Cipherfix: mitigating ciphertext side-channel attacks in software.","",""
